Id_contract,Id_employee,Id_job,Type_contract,Modality,Workdays,Worktime,Branch,Hiring_date,Termination_date
H-001,1001,ASII1001,Indefinite,Remote,5,40,2,28/12/2012,N/A
H-002,1002,ISII1002,Temporary,On-Site,5,40,5,15/05/2020,15/05/2021
H-003,1003,ASII1003,Temporary,Hybrid,5,40,5,20/02/2007,20/02/2008
H-004,1004,ES1004,Temporary,Remote,5,40,3,11/10/2019,10/10/2020
H-005,1005,ASII1005,Indefinite,Remote,5,40,4,01/11/2013,N/A
H-006,1006,ASII1006,Indefinite,On-Site,5,40,3,30/05/2012,N/A
H-007,1007,ISII1007,Temporary,On-Site,5,40,2,20/06/2008,20/06/2009
H-008,1008,ASII1008,Indefinite,On-Site,5,40,5,06/12/2022,N/A
H-009,1009,ES1009,Indefinite,On-Site,5,40,3,23/02/2005,N/A
H-010,1010,ASII1010,Indefinite,On-Site,5,40,2,09/07/2018,N/A
H-011,1011,DSII1011,Temporary,On-Site,5,40,6,21/10/2009,21/10/2010
H-012,1012,ISII1012,Temporary,Hybrid,5,40,6,03/08/2023,02/08/2024
H-013,1013,DSII1013,Temporary,Remote,5,40,6,24/07/2018,24/07/2019
H-014,1014,ISII1014,Indefinite,Hybrid,5,40,6,16/05/2009,N/A
H-015,1015,DSII1015,Indefinite,Remote,5,40,5,03/01/2009,N/A
H-016,1016,DSII1016,Temporary,On-Site,5,40,2,02/03/2015,01/03/2016
H-017,1017,ISII1017,Temporary,Remote,5,40,1,20/09/2012,20/09/2013
H-018,1018,DSI1018,Temporary,Hybrid,5,40,6,27/06/2021,27/06/2022
H-019,1019,DSII1019,Temporary,Hybrid,5,40,6,10/10/2011,09/10/2012
H-020,1020,ISII1020,Temporary,On-Site,5,40,1,13/02/2023,13/02/2024
H-021,1021,DSI1021,Indefinite,On-Site,5,40,5,18/11/2018,N/A
H-022,1022,DSII1022,Indefinite,Remote,5,40,4,10/06/2013,N/A
H-023,1023,ISII1023,Indefinite,Hybrid,5,40,5,07/08/2019,N/A
H-024,1024,DSI1024,Temporary,Remote,5,40,5,01/03/2021,01/03/2022
H-025,1025,DSII1025,Indefinite,Hybrid,5,40,5,17/12/2018,N/A
H-026,1026,ISII1026,Temporary,Hybrid,5,40,5,17/11/2020,17/11/2021
H-027,1027,DSI1027,Temporary,Hybrid,5,40,5,17/02/2019,17/02/2020
H-028,1028,DSII1028,Temporary,Hybrid,5,40,2,24/02/2014,24/02/2015
H-029,1029,ISII1029,Temporary,Hybrid,5,40,2,06/06/2009,06/06/2010
H-030,1030,DSI1030,Temporary,On-Site,5,40,1,07/06/2006,07/06/2007
H-031,1031,DSII1031,Indefinite,Remote,5,40,4,11/03/2022,N/A
H-032,1032,ISII1032,Temporary,On-Site,5,40,3,27/12/2012,27/12/2013
H-033,1033,DSI1033,Indefinite,Hybrid,5,40,3,07/06/2021,N/A
H-034,1034,DSII1034,Indefinite,Remote,5,40,1,21/08/2005,N/A
H-035,1035,ISII1035,Temporary,Remote,5,40,4,30/12/2011,29/12/2012
H-036,1036,DSI1036,Temporary,Remote,5,40,4,11/01/2022,11/01/2023
H-037,1037,DSII1037,Temporary,Remote,5,40,5,09/02/2014,09/02/2015
H-038,1038,ISII1038,Temporary,Remote,5,40,6,27/12/2017,27/12/2018
H-039,1039,DSI1039,Indefinite,Hybrid,5,40,5,09/08/2009,N/A
